id,subject,body,tone,intent
1,Client Feedback Update | Pilot Position,"Dear Ethan Thompson,

We have received feedback from the client regarding your profile for the Pilot position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Lily Patel  
Senior HR Representative  
Avior Recruitment Agency","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
2,Client Feedback Update | Underwriter Position,"Dear Ethan Thompson,

We are writing to inform you that we have received feedback from the client regarding your profile for the Underwriter position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Ava Lee  
Senior HR Representative  
Pinnacle Financial Solutions","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
3,Client Feedback Update | Cybersecurity Analyst Position,"Dear Alexander Reed,

We are writing to inform you that we have received feedback from the client regarding your profile for the Cybersecurity Analyst position.

Thank you for your patience during the review process. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest in this role.

Kind regards,
Elena Vasquez  
HR Representative  
OmniTalent Partners","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
4,Client Feedback Update | SEO Specialist Role,"Dear Ethan Jenkins,

We would like to inform you that we have received feedback from the client regarding your profile for the SEO Specialist role.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Ava Lee  
Senior HR Representative  
Apex Talent Partners","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
5,Client Feedback Update | Copywriter Position,"Dear Kaida Jenkins,

We would like to inform you that we have received feedback from the client regarding your profile for the Copywriter position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Elara Vex  
Senior HR Representative  
Apex Talent Solutions","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
6,Client Feedback Update | Social Media Manager Position,"Dear Kaitlyn Russell,

We are writing to inform you that we have received feedback from the client regarding your profile for the Social Media Manager position.

Thank you for your patience during the review process. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Elijah Thompson  
Senior HR Representative  
New Horizon Recruitment Agency","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
7,Client Feedback Update | PR Specialist Position,"Dear Ava Jenkins,

We would like to inform you that we have received feedback from the client regarding your profile for the PR Specialist position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest in this opportunity.

Kind regards,
Ethan Lee  
HR Representative  
Synergy Recruitment Agency","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
9,Client Feedback Update | Radiologic Technologist Role,"Dear Kaida Jenkins,

We have received feedback from the client regarding your profile for the Radiologic Technologist position.

Thank you for your patience during the review process. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Julia Reed  
Senior HR Representative  
MedicalStaff Solutions","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
10,Client Feedback Update | HVAC Technician Position,"Dear Julian Stinson,

We have received feedback from the client regarding your profile for the HVAC Technician position. 

Thank you for your patience during our review process. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Liam Chen  
Recruitment Coordinator  
ProTech Recruitment Services","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
11,Client Feedback Update | Graphic Designer Position,"Dear Ethan Lee,
 
We would like to inform you that we have received feedback from the client regarding your profile for the Graphic Designer position.
 
Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.
 
We appreciate your continued interest.
 
Kind regards,
Lily Tran  
Senior HR Representative  
GreenTech Inc.","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
12,Client Feedback Update | Recruiter Role,"Dear Ethan Patel,

We would like to inform you that we have received feedback from the client regarding your profile for the Recruiter role.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Julia Chen  
HR Business Partner  
Synergy HR Consulting","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
13,Client Feedback Update | Architect Position,"Dear Julian St Clair,

We would like to inform you that we have received feedback from the client regarding your profile for the Architect position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest in this opportunity.

Kind regards,
Liam Chen  
Senior HR Representative  
Synergy Solutions Group","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
14,Client Feedback Update | Marketing Coordinator Position,"Dear Emily Chen,

We would like to inform you that we have received feedback from the client regarding your profile for the Marketing Coordinator position.

Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Rajal Shah  
HR Generalist  
Catalyst Inc.","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
15,Client Feedback Update | Financial Analyst Position,"Dear Julian Stuard,
 
We would like to inform you that we have received feedback from the client regarding your profile for the Financial Analyst position.
 
Thank you for your patience while the review process was ongoing. The feedback is currently being evaluated by our recruitment team, and we will share further updates with you shortly.

We appreciate your continued interest.

Kind regards,
Ava Chen  
Senior HR Representative  
Prosperity Inc.","Professional, neutral, and informative",Inform candidate that client feedback has been received and next steps will follow
