id,subject,body,tone,intent
1,Availability Received – Interview Scheduling in Progress | Dental Hygienist Role,"Dear Emily Rodriguez,

Thank you for providing your availability for the Dental Hygienist position at SmileCare.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your background as a resilient and motivated professional, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in SmileCare.

Kind regards,
Julia Kim  
Talent Acquisition Specialist  
SmileCare","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
2,Availability Received – Interview Scheduling in Progress | Investment Banking Analyst,"Dear Julian Styles,

Thank you for providing your availability for the Investment Banking Analyst position at Nova Financial Group.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your background as a strategic thinker, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Nova Financial Group.

Kind regards,
Katherine Russell  
Talent Acquisition Manager  
Nova Financial Group","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
3,Availability Received – Interview Scheduling in Progress | Sociologist Role,"Dear Julian St. Clair,

Thank you for providing your availability for the Sociologist position at Nova Solutions.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your background as a fast-learning professional, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Nova Solutions.

Kind regards,
Ava Patel  
Talent Acquisition Specialist  
Nova Solutions","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
4,Interview Scheduling Update – Policy Analyst Position | Emily Patel,"Dear Ryan Thompson,

Thank you for sharing your availability for the Policy Analyst position at Synergy Corporation.

We appreciate your hard work and dedication, as described in your resume. Our recruitment team is reviewing the schedules shared by candidates and will schedule your interview soon.

Interview details will be shared with you shortly. We are looking forward to speaking with you further.

Thank you for your interest in Synergy Corporation.

Kind regards,
Ava Lee  
Talent Acquisition Coordinator  
Synergy Corporation","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
5,Availability Received – Interview Scheduling in Progress | Truck Driver Position,"Dear Ethan Slade,

Thank you for providing your availability for the Truck Driver position at Oakwood Transportation.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your self-described methodical approach, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Oakwood Transportation.

Kind regards,
Julia Martinez  
Talent Acquisition Coordinator  
Oakwood Transportation","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
6,Availability Received – Interview Scheduling in Progress | Game Designer Role,"Dear Julian Styles,

Thank you for providing your availability for the Game Designer position at Nova Interactive.

Our recruitment team is currently reviewing the schedules shared by candidates with strong technical backgrounds like yours. We will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Nova Interactive.

Kind regards,
Elena Martin  
Talent Acquisition Coordinator  
Nova Interactive","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
7,Availability Received – Welder Interview Scheduling in Progress | Manufacturing Supervisor Role,"Dear Ethan Sawyer,

Thank you for providing your availability for the Manufacturing Supervisor position at Pacific Industries.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your experience as a skilled welder, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Pacific Industries.

Kind regards,
Julia Reyes  
Talent Acquisition Coordinator  
Pacific Industries","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
8,Interview Scheduling Confirmation - Sound Engineer Position | Sonic Wave Studios,"Dear Julian Lee,

Thank you for sharing your availability for the Sound Engineer position at Sonic Wave Studios.

Our recruitment team is reviewing the schedules shared by candidates. Given your self-described resourcefulness, we are confident that our conversation will be productive and insightful.

We will schedule your interview shortly and share the details with you in due course.

Thank you for your continued interest in Sonic Wave Studios.

Kind regards,
Emily Patel
Talent Acquisition Specialist
Sonic Wave Studios","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
9,Availability Received – Interview Scheduling in Progress | Marketing Manager Role,"Dear Ethan Lee,

Thank you for sharing your availability for the Marketing Manager position at NovaTech Corporation.

Our recruitment team is reviewing the schedules shared by candidates. Given your diligence and strong work ethic, we will prioritize coordinating your interview schedule accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in NovaTech Corporation.

Best regards,
Maya Patel  
Talent Acquisition Specialist  
NovaTech Corporation","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
10,DevOps Specialist Interview Availability Received | NovaTech Inc.,"Dear Ethan Thompson,

Thank you for sharing your availability for the DevOps Specialist position at NovaTech Inc.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your description of yourself as dynamic, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in NovaTech Inc.

Kind regards,
Ava Patel  
Talent Acquisition Manager  
NovaTech Inc.","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
11,Interview Scheduling Update – Brand Ambassador Role | Emily Patel,"Dear Julian Styles,

Thank you for sharing your availability for the Brand Ambassador position at Nova Marketing Agency.

We appreciate your discipline and drive, which align with our company values. Our recruitment team is reviewing the schedules shared by candidates to determine a suitable time for your interview.

The interview details will be shared with you shortly. We look forward to scheduling your meeting soon.

Thank you for your interest in Nova Marketing Agency.

Kind regards,
Ava Morales  
Talent Acquisition Specialist  
Nova Marketing Agency","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
12,Availability Received – Interview Scheduling in Progress | UX/UI Designer Role,"Dear Julian Styles,

Thank you for sharing your availability for the UX/UI Designer position at Synergy Solutions.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your forward-thinking approach, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in Synergy Solutions.

Kind regards,
Ava Lee  
Talent Acquisition Coordinator  
Synergy Solutions","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
13,Availability Received – Executive Assistant Interview Scheduling | Marketing Analyst Position,"Dear Julian Ross,

Thank you for providing your availability for the Executive Assistant position at NovaTech Solutions.

Our recruitment team is currently reviewing the schedules shared by candidates. Based on your proactive nature, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in NovaTech Solutions.

Best regards,
Ethan Wallace  
Talent Acquisition Specialist  
NovaTech Solutions","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
14,Availability Received – Interview Scheduling in Progress | Operations Manager Role,"Dear Julianne Patel,

Thank you for sharing your availability for the Operations Manager position at NovaTech.

Our recruitment team is reviewing the schedules shared by candidates. Based on your empathetic approach to problem-solving, we will coordinate the next steps accordingly.

We will be scheduling your interview soon and will share the interview details with you shortly.

Thank you for your continued interest in NovaTech.

Best regards,
Ava Morales  
Talent Acquisition Specialist  
NovaTech","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
15,Interview Scheduling Update for Real Estate Agent Position | Smith & Co.,"Dear Ava Patel,

Thank you for sharing your availability for the interview with our team at Smith & Co.

Our recruitment specialist is reviewing the schedules shared by candidates, taking into account your energetic and motivated approach to sales.

The interview details will be shared with you shortly. We appreciate your patience and look forward to coordinating a suitable time frame.

Kind regards,
Ethan Thompson  
Talent Acquisition Specialist  
Smith & Co.","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
16,Interview Availability Acknowledged | Cloud Architect Role,"Dear Ethan Patel,

Thank you for sharing your availability for the Cloud Architect position at NovaTech Solutions.

Our recruitment team is reviewing the schedules shared by candidates. Based on your described dedication to your craft, we will prioritize scheduling your interview in the near future.

We will share the interview details with you shortly.

Thank you for your continued interest in NovaTech Solutions.

Best regards,
Julia Reynolds  
HR Representative  
NovaTech Solutions","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
17,Availability Received – UX/UI Designer Interview Scheduling | NovaTech,"Dear Julian Parker,

Thank you for sharing your availability for the UX/UI Designer position at NovaTech.

Our recruitment team is reviewing the schedules shared by candidates. Given your passion for design and user experience, we will coordinate the interview process accordingly.

We will schedule your interview soon and share the interview details with you shortly.

Thank you for your continued interest in NovaTech.

Kind regards,
Emily Patel  
Talent Acquisition Specialist  
NovaTech","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
18,Availability Received – Event Planner Interview Scheduling | Marketing Team Role,"Dear Julian Reed,

Thank you for sharing your availability for the Event Planner position at Greenleaf Marketing.

Our team is reviewing the schedules shared by candidates and will schedule your interview soon. We appreciate your enthusiasm as a motivated candidate.

We will be in touch shortly with the interview details, including time and date.

Best regards,
Ava Hernandez  
Talent Acquisition Representative  
Greenleaf Marketing","Professional, courteous, and neutral",Acknowledge receipt of candidate availability
