id,subject,body,tone,intent
1,Acknowledgment of Offer Response | Non-profit Coordinator Position,"Dear Avery Thompson,

Thank you for your response regarding the offer for the Non-profit Coordinator position at Evergreen Foundation.

We appreciate you taking the time to review the offer details and share your decision. Our team has received your response and will proceed accordingly. Should any additional information be required, a member of our HR team will reach out to you.

Thank you once again for your interest in Evergreen Foundation.

Kind regards,
Evelyn Pierce  
HR Representative  
Evergreen Foundation","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
2,Acknowledgment of Offer Response | Digital Marketer Position,"Dear Ethan Patel,

Thank you for your prompt response regarding the offer for the Digital Marketer position at NovaTech Solutions.

We appreciate you taking the time to review the details and share your thoughts on the opportunity. Our team has received your response and will proceed accordingly.

Best regards,
Ava Morales  
HR Department  
NovaTech Solutions","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
3,Response Received | Software Engineer Offer,"Dear Ethan Patel,

Thank you for your prompt response regarding the offer for the Software Engineer position at NovaTech Corporation.

We appreciate your diligence in reviewing the details of the offer and sharing your thoughts. Our team has received your response and will proceed accordingly. Should any additional information be required, a member of our HR team will reach out to you.

Thank you once again for your interest in NovaTech Corporation.

Kind regards,
Ava Moreno  
HR Generalist  
NovaTech Corporation","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
4,Offer Response Received | Safety Inspector Position,"Dear Ethan Patel,

Thank you for your response regarding the offer for the Safety Inspector position at NovaTech Corporation.

We appreciate you taking the time to review the offer details and share your decision. Our team has received your response and will proceed accordingly.

Should any additional information be required, a member of our HR team will reach out to you.

Best regards,
Ava Moreno  
HR Generalist  
NovaTech Corporation","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
5,Acknowledgment of Offer Response | Data Scientist Position,"Dear Evelyn Thompson,

Thank you for your prompt response regarding the offer for the Data Scientist position at NovaTech Solutions.

We appreciate you taking the time to review the offer details and share your decision. Our team has received your response and will proceed accordingly. Should any additional information be required, a member of our HR team will reach out to you.

Thank you once again for your interest in NovaTech Solutions.

Kind regards,
Cameron Patel  
HR Operations Coordinator  
NovaTech Solutions","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
6,Acknowledgment of Offer Response | Personal Trainer Position,"Dear Austin Martin,

Thank you for your prompt response to the job offer for the Personal Trainer position at FitZone Gym.

We appreciate the time you took to review the details and share your thoughts. Our team has received your message and will proceed with our next steps accordingly. If any additional information is needed, please feel free to contact us directly.

Thank you again for considering a career with FitZone Gym.

Kind regards,
Evelyn Thompson  
HR Generalist  
FitZone Gym","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
7,Response Received | Civil Engineer Position at TerraTech Inc.,"Dear Ethan Patel,

Thank you for your prompt response to the job offer for the Civil Engineer position at TerraTech Inc.

We appreciate your time in reviewing the offer details and sharing your decision. Our team will proceed accordingly based on your response.

Should any additional information be required, a member of our HR team will contact you directly.

Thank you once again for considering TerraTech Inc.

Kind regards,
Julia Santos  
HR Representative  
TerraTech Inc.","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
8,Confirmation of Project Manager Offer Response | Olivia Patel,"Dear Ethan Kim,

Thank you for your response regarding the offer for the Project Manager position at NovaTech Corporation.

We appreciate you taking the time to review the offer details and share your decision. Our team has received your response and will proceed accordingly.

Best regards,
Ava Morales  
HR Specialist  
NovaTech Corporation","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
9,Response Received | Welder Position,"Dear Ethan Brooks,

Thank you for your prompt response regarding the offer for the Welder position at NovaTech Industries.

We appreciate your reliability as a candidate, and we value your decision. Our team has received your response and will proceed accordingly. Should any additional information be required, a member of our HR team will reach out to you.

Thank you once again for considering NovaTech Industries.

Kind regards,
Julia Rodriguez  
HR Generalist  
NovaTech Industries","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
10,Response to Offer Acknowledgment | Construction Foreman Position,"Dear Ethan Thompson,

Thank you for your prompt response regarding the offer for the Construction Foreman position at Oakwood Inc.

We appreciate your review of the offer details and share our anticipation for your decision. Our HR team has received your response and will proceed accordingly. Should any additional information be required, a member of our HR team will reach out to you.

Thank you once again for considering Oakwood Inc.

Kind regards,
Ava Morales  
HR Operations Manager  
Oakwood Inc","Professional, neutral, and courteous",Acknowledge receipt of candidate offer response and confirm next steps will follow
