id,subject,body,tone,intent
1,Interview Confirmation | Customer Support Agent Position,"Dear Julianne Reed,

Thank you for confirming your availability for the interview for the Customer Support Agent position at ApexInc.

We are pleased to confirm your interview scheduled for Friday, 20 October at 2:00 PM. The interview will be conducted in-person, and please report to our office located at 123 Main St, Anytown.

We look forward to meeting you and learning more about your qualifications.

Kind regards,
Ava Morales  
HR Representative  
ApexInc","Professional, courteous, and welcoming",Confirm interview details and acknowledge candidate availability
2,Interview Confirmation | Urban Planner Position,"Dear Sophia Patel,

Thank you for confirming your availability for the interview for the Urban Planner position at MetroVille Development Corporation.

We are pleased to confirm your interview scheduled for Thursday, 19 October at 2:00 PM. The interview will be conducted in-person at our office located at 123 Main Street, and we kindly request that you arrive 15 minutes prior to the scheduled time.

We look forward to meeting you and discussing how your skills can contribute to our team's success.

Kind regards,
Ryan Lee  
HR Representative  
MetroVille Development Corporation","Professional, courteous, and welcoming",Confirm interview details and acknowledge candidate availability
3,Interview Confirmation | Web Developer Position,"Dear Julia Knight,

Thank you for confirming your availability for the interview for the Web Developer position at FusionCorp.

We are pleased to confirm your interview scheduled for Thursday, 19 October at 2:00 PM. The interview will be conducted in-person, and our offices are located at 123 Main Street, Anytown, USA.

We look forward to meeting you and discussing your qualifications further.

Kind regards,
Raj Patel  
HR Representative  
FusionCorp","Professional, courteous, welcoming",Confirm interview details and acknowledge candidate availability
4,Interview Confirmation | Phlebotomist Position,"Dear Julianne Jenkins,

Thank you for confirming your availability for the interview for the Phlebotomist position at MedPro Medical Services.

We are pleased to confirm your interview scheduled for Monday, 15 January at 2:00 PM. The interview will be conducted in-person, and we kindly request that you arrive at 1:45 PM to allow time for check-in and setup.

We look forward to meeting you and discussing your qualifications further.

Kind regards,
Ava Patel  
HR Representative  
MedPro Medical Services","Professional, courteous, welcoming",Confirm interview details and acknowledge candidate availability
5,Bartender Interview Confirmation | The Red Lion Pub,"Dear Alexander Brooks,

Thank you for confirming your availability for the interview for the Bartender position at The Red Lion Pub.

We are pleased to confirm your interview scheduled for Thursday, 26 October at 2:00 PM. The interview will be conducted in-person at our pub location.

We look forward to meeting you and learning more about your experience as a bartender.

Kind regards,
Julia Patel  
HR Representative  
The Red Lion Pub","Professional, courteous, welcoming",Confirm interview details and acknowledge candidate availability
6,Interview Confirmation | Receptionist Position,"Dear Ava Patel,

Thank you for confirming your availability for the interview for the Receptionist position at Evergreen Corporation.

We are pleased to confirm your interview scheduled for Thursday, 12 October at 2:00 PM. The interview will be conducted in-person and will last approximately 45 minutes.

We look forward to meeting you and learning more about your analytical skills.

Kind regards,
Lily Brooks  
HR Representative  
Evergreen Corporation","Professional, courteous, welcoming",Confirm interview details and acknowledge candidate availability
7,Interview Confirmation | Supply Chain Analyst Position,"Dear Ava Patel,

Thank you for confirming your availability for the interview for the Supply Chain Analyst position at Premier Industries.

We are pleased to confirm your interview scheduled for Monday, 23 October at 2:00 PM. The interview will be conducted in-person, and we kindly request that you arrive 15 minutes prior to the scheduled time.

We look forward to meeting you and discussing how your skills align with our company's goals.

Kind regards,
Julia Knight  
HR Representative  
Premier Industries","Professional, courteous, and welcoming",Confirm interview details and acknowledge candidate availability
8,Interview Confirmation | Data Scientist Position,"Dear Ethan Patel,

Thank you for confirming your availability for the interview for the Data Scientist position at Synthia Inc.

We are pleased to confirm your interview scheduled for Thursday, 19 April at 2:00 PM. The interview will be conducted in-person, and please arrive 15 minutes prior to the scheduled time.

We look forward to meeting you and discussing your qualifications further.

Kind regards,
Ava Lee  
HR Representative  
Synthia Inc","Professional, courteous, and welcoming",Confirm interview details and acknowledge candidate availability
9,Interview Confirmation | Landscape Architect Position,"Dear Julia Knight,

Thank you for confirming your availability for the interview for the Landscape Architect position at Bloomfield Estates.

We are pleased to confirm your interview scheduled for Monday, 23 October at 2:00 PM. The interview will be conducted in-person at our office located at 123 Main Street.

We look forward to meeting you and learning more about your approach to landscape architecture.

Kind regards,
Ryan Thompson  
HR Representative  
Bloomfield Estates","Professional, courteous, welcoming",Confirm interview details and acknowledge candidate availability
10,Interview Confirmation | Case Manager Position,"Dear Ryan Jenkins,

Thank you for confirming your availability for the interview for the Case Manager position at Pacific Healthcare Group.

We are pleased to confirm your interview scheduled for Monday, 23 October at 2:00 PM. The interview will be conducted in-person at our office located at 123 Main Street, Anytown, USA.

We look forward to meeting you and learning more about your experience.

Best regards,
Ava Morales  
HR Representative  
Pacific Healthcare Group","Professional, courteous, and welcoming",Confirm interview details and acknowledge candidate availability
