id,subject,body,tone,intent
1,Inquiry Received - Flight Attendant Position,"Dear Mr. Ethan Patel,

Thank you for reaching out to us regarding the Flight Attendant position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Aisha Singh  
HR Representative  
Avior Airlines","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
2,Inquiry Response | Plumber Position,"Dear Ethan Patel,

Thank you for reaching out to us regarding your inquiry about the Plumber position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Best regards,
Aurora Jensen  
HR Representative  
TalentBridge Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
3,Inquiry Response | Flight Instructor Position,"Dear Ms. Leila Patel,

Thank you for reaching out to us regarding your inquiry about the Flight Instructor position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest and will provide you with a detailed response as soon as possible.

Kind regards,
Ethan Kim  
HR Representative  
Aerotek Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
4,Inquiry Response | Electrician Position,"Dear Axel Rodriguez,

Thank you for reaching out to us regarding your inquiry about the Electrician position.

We have received your message and it is currently under review by our recruitment team. We appreciate your forward-thinking approach and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Lily Tran  
HR Representative  
GreenTech Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
5,Response to Your Inquiry | Software Engineer Position,"Dear Sophia Jensen,

Thank you for reaching out with your inquiry about the Software Engineer position.

We have received your message and it is currently under review by our recruitment team. We appreciate your motivation and will provide you with a detailed response as soon as possible.

Best regards,
Evelyn Tran  
Recruitment Specialist  
ApexTech Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
6,Inquiry Response - Security Guard Position | Hiring Team,"Dear Ms. Ava Jenkins,

Thank you for reaching out with your inquiry about the Security Guard position at our company.

We acknowledge receipt of your message and it is currently being reviewed by our HR team. We appreciate your determination in pursuing this opportunity and will provide you with a detailed response soon.

Please be patient as we review your inquiry.

Kind regards,
Ethan Patel  
HR Representative  
Empire Staffing Services","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
7,Inquiry about Mortgage Broker Position | General Response,"Dear Ms. Sophia Patel,

Thank you for reaching out to us regarding your interest in the Mortgage Broker position.

We have received your message and it is currently under review by our recruitment team. We appreciate your organizational skills, which we believe are valuable assets in this role, and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Evelyn Chen  
HR Representative  
Greenleaf Financial Services","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
8,Response to Your Inquiry | Underwriter Position,"Dear Ms. Zara Patel,

Thank you for reaching out with your inquiry regarding the Underwriter position at our company.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Liam Chen  
HR Representative  
Apex Financial Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
9,Inquiry Acknowledgment | Financial Analyst Position,"Dear Rohan Jain,

Thank you for reaching out with your inquiry about the Financial Analyst position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in our organization and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Aisha Patel  
HR Representative  
Everest Ventures","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
10,Inquiry regarding Animator Position | Thank You for Your Interest,"Dear Ethan Patel,

Thank you for reaching out to us about the Animator position.

We have received your message and it is currently under review by our HR team. We appreciate your interest in this role, especially with your described ambitious goals.

We will be in touch soon with a detailed response regarding this opportunity.

Kind regards,
Lakshmi Choudhury  
HR Representative  
Creative Solutions Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
11,Response to Your Inquiry | Web Developer Position,"Dear Julian Blackwood,

Thank you for reaching out with your inquiry about the Web Developer position.

We have received your message and it is currently under review by our recruitment team. We appreciate your passion for web development and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Aisha Patel  
HR Representative  
TechCorp Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
12,Inquiry Response | Chef Position,"Dear Emilia Santos,

Thank you for reaching out to us regarding your inquiry about the Chef position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in joining our culinary team and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Julia Ramos  
HR Generalist  
BistroVue","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
13,Acknowledgment of Your Inquiry | Brand Ambassador Position,"Dear Eliana Rodriguez,

Thank you for reaching out to us regarding your interest in the Brand Ambassador position.

We have received your message and it is currently being reviewed by our recruitment team. We appreciate your resourcefulness and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Ava Morales  
HR Representative  
Apex Marketing Partners","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
14,Inquiry Response | Security Guard Position,"Dear Ms. Julianne Rodriguez,

Thank you for reaching out to us regarding your inquiry about the Security Guard position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Evelyn Thompson  
HR Representative  
CyberGuard Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
15,Acknowledgment of Your Inquiry | Investment Banker Position,"Dear Ryan Patel,

Thank you for reaching out to us regarding your inquiry about the Investment Banker position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role, particularly your strategic approach, and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Aisha Kumar  
HR Generalist  
Everest Corporation","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
16,Inquiry Response | Sound Engineer Position,"Dear Mr. Ethan Patel,

Thank you for reaching out to us regarding your interest in the Sound Engineer position.

We have received your message and it is currently under review by our recruitment team. We appreciate your reliability and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Lakshmi Rao  
HR Representative  
Harmony Recruitment Agency","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
18,Inquiry regarding Security Guard Position | New Hire,"Dear Ethan Lee,

Thank you for reaching out to us regarding your inquiry about the Security Guard position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role, particularly highlighting your self-motivated nature as a valuable asset.

A response will be provided soon.

Best regards,
Mia Patel  
HR Representative  
SecureGuard Services","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
19,Inquiry Response | Customer Support Agent Position,"Dear Amira Thompson,

Thank you for reaching out with your inquiry about the Customer Support Agent position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role, particularly your analytical skills which we believe would be a valuable asset to our team.

A response will follow shortly.

Kind regards,
Evelyn Patel  
HR Representative  
SupportPlus Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
20,Inquiry Response | Sociologist Position,"Dear Emily Patel,

Thank you for reaching out to us regarding your inquiry about the Sociologist position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Julia Rodriguez  
HR Representative  
NewHorizons Corporation","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
21,Inquiry regarding Data Entry Clerk Position,"Dear Axel Rodriguez,

Thank you for reaching out to us about your interest in the Data Entry Clerk position.

We have received your message and it is currently under review by our HR team. We appreciate your enthusiasm and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Juliette Jenkins  
HR Representative  
Skyline Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
22,Acknowledgment of Your Inquiry | Truck Driver Position,"Dear Ms. Sophia Jensen,

Thank you for reaching out to us regarding your inquiry about the Truck Driver position.

We have received your message and it is currently under review by our HR team. We appreciate your diligence in seeking information and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Ava Morales
HR Representative  
Recruitment Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
23,Inquiry Response | Construction Foreman Position,"Dear Ms. Jasmine Patel,

Thank you for reaching out to us regarding the Construction Foreman position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role, particularly that you described yourself as a fast-learning individual.

We will provide you with a detailed response soon.

Best regards,
Liam Chen  
HR Representative  
New Horizon Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
24,Inquiry Review for Web Developer Position,"Dear Ms. Jena Patel,

Thank you for reaching out to us regarding your inquiry about the Web Developer position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Kavita Kumar  
HR Representative  
NewTech Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
25,Re: Inquiry about Sales Representative Position | Independent Contractor Inquiry,"Dear Lucas Brooks,

Thank you for reaching out to us regarding your inquiry about the Sales Representative position as an independent contractor.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in working with us and will provide you with a detailed response soon.

Thank you for your patience.

Kind regards,
Ava Morales  
HR Generalist  
Apex Solutions Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
26,Inquiry Received - Mobile App Developer Position,"Dear Liam Patel,

Thank you for reaching out to us regarding your inquiry about the Mobile App Developer position.

We have received your message and it is currently under review by our recruitment team. We appreciate your analytical approach and will provide you with a detailed response as soon as possible.

Best regards,
Evelyn Lee  
HR Representative  
Synergy Recruitment Agency","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
27,Inquiry Review - Cybersecurity Analyst Position,"Dear Julian Lee,

Thank you for reaching out with your question about the Cybersecurity Analyst position.

We have received your message and it is currently under review by our recruitment team. We appreciate your forward-thinking approach to cybersecurity and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Best regards,
Alejandro Hernandez  
HR Generalist  
NewEdge Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
28,Inquiry regarding Sociologist Position | Acknowledgment,"Dear Mr. Ethan Patel,

Thank you for reaching out with your inquiry about the Sociologist position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in our company and will provide you with a detailed response as soon as possible.

Kind regards,
Avery Jenkins  
HR Generalist  
TalentConnect Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
29,Acknowledgment of Your Inquiry | Content Strategist Position,"Dear Ethan Patel,

Thank you for contacting us regarding your inquiry about the Content Strategist position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Lakshmi Desai  
HR Generalist  
ApexTech Solutions","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
30,Inquiry Regarding Safety Inspector Position | Response,"Dear Ethan Patel,

Thank you for reaching out to us regarding the Safety Inspector position.

We have received your message and it is currently under review by our recruitment team. We appreciate your interest in this role and will provide you with a detailed response as soon as possible.

Thank you for your patience.

Kind regards,
Aurora Jensen  
HR Representative  
SecurityGuard Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
31,Inquiry Response | Personal Trainer Position,"Dear Ethan Thompson,

Thank you for reaching out with your inquiry about the Personal Trainer position.

We have received your message and it is currently under review by our HR team. We appreciate your interest in this role, particularly given your self-described discipline.

A response will be provided soon.

Kind regards,
Samantha Patel  
HR Representative  
FitLife Inc.","Professional, polite, and responsive",Acknowledge receipt of inquiry and inform sender that a response will follow
